sample,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,diaphyseal bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
002-Ulna_L,250.3503962865,3.2560464062,4.1562015174,1.2689381209,0.9508906621,9.6320767067,286.7863526559,68.3683736731,7976.5337384066,6107.065387126,-190.5529742282,6087.8402265799,7995.7588989526,5.7611576926,172.3212378059,49.2987026492,2238.2317768424,2793.6437661044,-468.9101061239,1970.9631784151,3060.9123645317,60.3177970287,151.564547229,49.2167842171,2891.2297160403,1379.9664468154,-428.4223225845,1266.9641805722,3004.2319822836,14.7760211758,129.8639723834,45.3697818002,2073.2957440841,1009.5493353386,-207.4733984485,970.5159653986,2112.3291140241,10.6548949918,105.6978587943,37.8020189097,858.359228224,1006.5605616153,-193.8418883238,724.9373986122,1139.9823912271,55.4602716681
002-Ulna_R,250.2694525403,4.5254713599,5.8299495475,2.2958461809,1.7891932958,14.4404603841,295.2049868492,71.0486046758,9023.6852438133,6526.2386608151,1344.8780063012,5939.7489645209,9610.1749401075,-23.5616005864,176.3418278457,50.2823064234,2138.7357591201,3150.0720203172,1.5918103553,2138.7332536686,3150.0745257687,-89.909818606,151.2046268181,49.4949984464,1285.5360981938,2948.8039875518,66.5702632412,1282.8759592965,2951.4641264491,-87.7116857118,128.4440452685,46.1105420204,1105.4748816348,1929.5608165364,-330.2041228905,989.4892799726,2045.5464181986,70.6459581187,109.0311607454,38.2358511943,1069.0144156388,872.771231722,-45.9350633008,862.5513410945,1079.2343062662,12.5431878075
003-Ulna_L,217.5500276633,4.248653493,5.8537680072,1.9466853444,0.6082262688,12.6573331134,174.8783393509,51.6824557333,3243.9760133641,1977.7270633693,-194.9869199164,1948.3815392126,3273.3215375208,8.558778954,105.8094047003,38.03656884,840.1214393865,1007.5854247879,57.3329986912,822.3737822033,1025.3330819711,-72.7998819668,90.4440897302,37.8127403834,902.3028641538,580.25058703,140.834195427,527.3522344701,955.2012167137,-20.586545208,76.943176697,33.1209127839,478.8474186781,542.7178181379,150.8897370956,356.55042416,665.0148126561,-50.9750355872,63.9689745826,29.3934607571,366.0308367561,306.5730609901,-23.2857228333,298.5391144637,374.0647832825,19.0352526456
003-Ulna_R,217.6999440716,3.8870925335,5.7215214753,2.9263531175,1.5659036246,14.1008707509,165.5739245029,51.5207886651,2815.2243196208,1879.1169299609,72.9096920291,1873.4723194996,2820.868930082,-4.4269631663,103.8147418481,38.2422540159,858.0481362518,932.2583439691,-19.8042209635,853.0938071574,937.2126730635,75.9548424161,87.155464484,36.5872154246,865.3190886216,487.4485667827,-84.7442198093,469.313512085,883.4541433193,12.0789699392,78.3252784404,33.2466047525,519.2329612594,535.4415599762,-158.9660029478,368.1648077207,686.5097135149,46.4592443563,66.9314824118,29.7739448452,391.4200287887,336.8018787819,16.382128122,332.2650796515,395.9568279191,-15.4793196815
007-Ulna_L,247.5696790143,2.7999746242,3.4308628892,2.1734513277,1.292580738,9.6968695791,183.1095238466,53.4000227734,2792.4330811327,2840.0029528564,-130.0269461281,2684.0335629413,2948.4024710478,50.1830587337,129.8187241592,43.8937238454,1365.7226589128,1520.2675721292,-56.0466147008,1347.5369803534,1538.4532506886,72.0230924151,112.6698961938,41.0294030656,935.8147162992,1237.7820959259,-84.5152776127,913.7697762862,1259.827035939,75.3807279194,96.2500313359,35.8768503661,670.6677284602,839.3273265685,24.7018795977,667.1243355605,842.8707194682,-81.836820038,89.3363705785,34.0233204264,689.6104838662,606.1305994929,97.5912712243,541.727812334,754.0132710251,-33.4217635858
007-Ulna_R,246.9303221386,3.3083127481,4.2557999564,3.0638608676,1.6813416373,12.3093152094,205.675277774,56.1086011334,3760.4457512757,3301.8828486406,-39.5213725295,3298.5016196571,3763.8269802592,4.8900007692,128.9785201506,45.9554686663,1466.0279094149,1568.896985506,-288.7557861293,1224.1615512343,1810.7633436867,50.0499325475,112.3318024848,41.6862557262,1316.2552144397,919.3067550345,-200.1675088941,835.8961652223,1399.6658042519,22.6216846586,96.4345609198,36.3409851113,901.2808296008,641.2993278142,44.0824655529,634.0280698084,908.5520876067,-9.3664131372,102.9753348661,36.4497068292,844.5923194551,874.4246005281,150.5831924788,708.1883056644,1010.8286143189,-47.8285129156
009-Ulna_L,257.3700329135,4.3519660278,4.6951202339,1.7893245127,1.4963877468,12.3327985213,221.2170997543,61.2331895698,4805.4531421237,3851.3414474218,-175.5553961649,3820.0647475024,4836.7298420431,10.1017464624,149.0176560536,48.6087209128,1772.4302125098,2140.1758137398,-143.5585232808,1723.0258037525,2189.5802224972,71.0095469035,125.3013425263,49.7873275488,1315.6376809233,1955.4087917403,-467.1672771284,1069.3324262876,2201.7140463761,62.2003943077,108.9583262065,41.2949487554,811.386639381,1290.7211551461,-156.826757905,764.6363236129,1337.4714709142,73.4005943154,109.109552156,38.7585853096,980.3216871452,992.4034807601,150.9173681516,835.3243621542,1137.4008057512,-46.1461014063
009-Ulna_R,266.4396790207,3.6161721106,3.9234243759,1.8755600495,1.4951922193,10.9103487552,246.7698400469,64.2365996852,6067.334130783,4669.9808022271,-131.5618646312,4657.7020491744,6079.6128838357,5.3320059093,163.65844718,54.6780103232,2320.8447161045,2864.2156462354,-120.9626799159,2295.1332042851,2889.9271580548,77.9999544607,143.4888789249,54.8004363397,2016.6000894464,2416.5130213793,549.2977219696,1631.9963997036,2801.1167111221,-55.0013099707,126.706356887,44.5019581903,1281.0337277329,1530.7923264802,182.8448377055,1184.4924452095,1627.3336090036,-62.1661400814,121.6104385379,40.4062688196,1120.6762796602,1298.9399714356,-80.256901215,1089.8679065053,1329.7483445905,68.9996047578
012-Ulna_L,232.8001340276,4.3945422573,5.5574334368,1.0575416924,1.5665001105,12.5760174971,153.166540886,46.9947146846,2557.5580879422,1476.3198119742,-428.9690485492,1326.8059939506,2707.0719059657,19.2156021729,96.5650327878,36.6289268425,650.5471612318,907.2492102666,-29.7599950436,647.1421885435,910.6541829548,83.4729189146,79.3734089497,34.685207858,367.1685608807,787.0453621614,-111.4515608531,339.4189675457,814.7949554964,76.0185879202,62.4876571509,30.2545491362,229.7159118689,461.7468033816,-23.173959367,227.4240626398,464.0386526108,84.3519505072,57.5756039859,27.7583217869,317.6251746893,234.0437539774,54.7280547692,206.9750172627,344.693911404,-26.3172017336
012-Ulna_R,239.5997329801,4.9163852102,6.334776701,1.6936284561,1.9866994777,14.9314898449,160.2258885984,47.9811273784,2600.1537001612,1705.8914678682,300.4273752381,1614.3363647563,2691.7088032731,-16.9485757653,97.1511976231,36.1656927905,644.090731522,914.1196477946,-3.438523266,644.0469527822,914.1634265344,89.2705585188,81.1168161297,35.315945083,351.8572419625,872.3341791953,54.6333466703,346.1843285055,878.0070926523,-84.0718745499,63.7343039347,29.7625692869,273.2190780649,402.6370590519,-2.3144807664,273.1776996645,402.6784374524,88.9757723618,62.0814824447,28.8320853867,388.7254069512,252.9012586141,-44.7547063025,239.4804762356,402.1461893297,16.6926320759
